u	v	w	x	y	z
-0.02523534	1.153582967	-0.182139803	0.497482751	-0.114659609	-0.583253682
0.818373005	1.232301545	0.268149733	-0.047472021	1.102163286	1.188979153
1.349173172	-1.114146814	0.428699244	-0.204303486	1.353821251	1.396704039
1.313606837	-0.078139937	0.194006458	-0.464958663	0.529555755	1.251548495
1.406055321	1.69701471	0.020347316	-0.922773167	0.974743438	1.189592872
0.476462644	0.69456228	0.260218615	1.410358649	0.289332297	0.539184615
0.235050328	-0.243783571	0.315229879	-0.80231535	0.429074663	0.772456988
0.417307337	0.406258844	0.295446596	0.206381009	0.954421204	0.905911808
-0.171324153	0.850054041	0.296145574	0.561125388	-0.155979632	0.238102927
0.925142686	1.978496629	0.403408781	-0.444356957	1.042178509	1.200430247
2.255578536	0.830453549	1.07968771	1.703660993	2.09261551	2.052263667
1.953470577	0.21938329	1.06779127	0.034100326	0.663486519	1.528731982
1.877699697	1.792483212	0.575376264	-0.889298696	1.03322214	1.530118775
0.120488243	0.817475315	0.090869037	-0.200467416	0.069007996	0.1830621
-1.729005143	0.105161592	-0.134311078	0.612850384	-1.133192739	-0.691771048
-2.534669595	-0.200015021	-0.023046009	0.509040463	-0.794922589	-1.26146377
