v1;v2
positive;"you are friendly and helpful	"
positive;"Great service very well done. Only bike conditions need to be improved. Principalmebte swollen wheels	"
positive;"favorable	"
positive;"A really useful service, I hope in the possibility of using 24 hours a day, especially for us young people it can be very useful at night when the vehicles are almost zero and you are forced to use taxis.	"
positive;"Improve the service of electric bicycles, too often discharged.	"
positive;"Extend the timetable 24 hours a day	"
negative;"Improve bike maintenance and simplify the communication of their failures	"
positive;"increase bike lanes, increase bike rental hours, improve electric bikes and check yellow bike status more frequently	"
positive;"The service is very good and has improved a lot since the beginning. It can still be improved by increasing the maximum time beyond which the travel expenses are no longer covered by the season ticket (for example from half an hour to three quarters of an hour), and checking the status of the bicycles more often (it happens too often to find bikes with the third and / or second gear broken and be forced to go very slowly!).	"
positive;"improve maintenance	"
negative;"The stalls located in the center are ALWAYS full and it is difficult to find a post where to deliver the bike	"
positive;"Very good in general ... if I have to find improved points, I would say first of all that bicycles are heavy and hardly manageable and the bicycle filling / checking system is not the most effective	"
negative;"intensify maintenance! Often the bikes picked up have gearbox problems, pedals, saddle	"
negative;"It happened to me several times that the electric bikes were empty and therefore much heavier than the classic ones. Furthermore, there is no possibility to conveniently report any faults (such as text messages and apps).	"
negative;"Not always adequate state of efficiency of the vehicles. Yellow bikes with mechanical failures and red bikes with low battery.	"
positive;"Great service, convenient and environmentally friendly. It could be extended and be more widespread.	"
positive;"On average satisfied	"
negative;"Yellow bikes often have gearbox problems	"
positive;"I would like a bike-mi station near Piazzale Martini.	"
positive;"positive	"
negative;"Bikes are often in a bad state	"
positive;"To encourage families to use the service it would be essential to include a child seat	"
negative;"The system must signal the defective bicycles and lock them up to repair	"
positive;"okay cosi.sugg: some station in more external ring 90/91	"
positive;"Improve bike maintenance	"
positive;"We would need a flat pass to keep the bike for a longer period	"
positive;"Improve maintenance and availability in the most critical time slots	"
positive;"Extended service hours possible (24/7), extension of stalls in the perimeter area	"
negative;"Night time extension. Possibility to report damage	"
positive;"Overall positive experience, the only flaw bikes often in poor condition (brakes, gearbox, electric motor not working)	"
positive;"Inflate the tires !!!!!	"
positive;"I really appreciate the service, the stations are numerous, well located and it is rare to find them full or without bikes. But often (yellow) bicycles have gearbox problems, they are very heavy and much slower than normal bikes. For these reasons, moving on a bicycle every day I prefer my personal use of bikemi only in emergency situations. That said, I will continue to remain a subscriber for the moment because it is a winning idea and overall good service	"
positive;"I find it a useful and practical service	"
positive;"Positive but limiting having the nearest station 2km from home. It would be ideal to have a station near every exit from the metro.	"
positive;"I am happy to live in a city - very similar to those in Europe, but we must increase and encourage the use of the service and allow additional discounts in other services to make bikemi enjoyable. We need more spacious stations, as I am unable to get on my bike in the morning. We would use music to apply on bikes	"
negative;"There are some stations that are too full in the morning, with no free stalls to leave the bikes. Following reports it would be advisable to take this into consideration and not fill all the stalls during the night	"
positive;"More careful maintenance	"
positive;"it would be nice to have more bikemi stations in the suburbs	"
positive;"I like bikemi. Much could be improved. Most frequent bike repair. Proper distribution of the bikes also in the central areas. Unlimited night time	"
negative;"close Milan to cars, as Oslo will do, we are not ready, but sooner or later we have to start	"
positive;"EXCELLENT BUT I EXTEND THE TIME LIMIT FOR RETURN TO 10 HOURS FROM LEVEL	"
positive;"arrange the bikes, increase the number of stations, DO NIGHT SERVICE OTHERWISE NEED NOTHING AND PEOPLE GET FIRST TO TAKE YOUR BIKE	"
negative;"Serve a map of the stations. Often it turns empty in search of the nearest one, without finding it	"
positive;"Do maintenance	"
positive;"add bikemi stations both inside and, especially towards the outskirts of Milan. I found myself too many times in the hospital area looking for a space for the bike.	"
positive;"Positive experience, but bike maintenance should be more accurate	"
negative;"Inventing a way to report damage to bicycles and not make it more available to avoid the next user a nasty surprise. Some users ""turn"" the saddle as a signal.	"
positive;"Using the train and in correspondence of the station it happens to not find the bicycles or the free stalls.	"
positive;"There is a need for more stations, especially to some suburbs, in order to allow the use of bike sharing more uniformly.	"
positive;"The service is good, but closes too early. In this way it is not a valid alternative to the car to move in the evening	"
positive;"I like bikemi. service to be continuously improved (for coverage, bike operation, etc.) as already done but very valid	"
positive;"bicycles are quite heavy, if you don't have enough balance and like me you weigh less than 50 kg the use can be complicated	"
positive;"INCREASE THE STATIONS IN THE OUTSKIRTS	"
positive;"Make a statistic on the stalls used daily by users and absolutely avoid that the latter arrive at a stall, do not find a parking space and have to fall back on another bike station much further away from the desired location. This is an aspect to be improved, very important, it is a deterrent from the use of this service.	"
positive;"I would say good: I play sports while I move to work in the city	"
positive;"It would be nice to bring the time allowance to 45 minutes and have the family card	"
positive;"improve the bikes in maintenance and allow a simple and optional customer satisfaction survey at the end of the use	"
positive;"A flaw is the hook, you have to lift and often fix the two hooks that fold. In Paris and Berlin the connection is easier because the bike is not lifted	"
positive;"Please do not fill the stations at 22/23 every evening, otherwise it is impossible to store the bicycles in use after dinner. Thank you very much, you are excellent.	"
positive;"Frankly I have used it, little but I would like to do it more. I have never had any problems with it, nor with the way it is used, so I would say all is well. Perhaps the biggest problem is always finding spaces available at certain times of the day at the parking lots.	"
positive;"Absolutely happy with the time of the service which should start earlier in the morning	"
positive;"I am satisfied with the service and use it regularly. A few suggestions: often the stations are full of bikes when you come back from your lunch break to hang up, especially in the center. If possible it could be enlarged. Electric bikes often do not work and pedaling is very hard and therefore a heavy bike to move. The maintenance of yellow bikes has improved over time but it is still difficult to find a perfect bike, there is always some problems especially with the gearbox and pedals, but sometimes also with the saddle and brakes. Thanks anyway for the service, it changed my life for the better :-)	"
negative;"Do more maintenance and pay attention to recharging electric bikes	"
positive;"I find that outside of the service that in itself is wonderful, certain problems need to be resolved such as the displacement of the neuralgic areas of Saturday (Sempione and Navigli) and the session that ultimately I always find broken in the bikes.	"
positive;"The only major flaw of bikemi is that it doesn't work at night. It is the time when it can be most useful (less buses pass, there is less traffic, etc.). Many friends don't subscribe to bikemi for this reason, you lose a lot of potential customers ... In addition, I would broaden the coverage area of ​​the stations (there are areas of Milan discovered).	"
positive;"Extend bike parking beyond the current areas where there are public parks in the city (eg lambro park)	"
negative;"The Service loses efficiency and credibility due to the unavailability of stalls in the center in the morning after 8.45am. More and more frequently not finding free stalls after turning even up to 10 stations I see myself forced to leave the bike at the station tying it with the supplied chain. I hope, among other things, that the Piazza Beccaria stations will soon be reactivated, broad august and upgraded	"
negative;"sometimes I found myself renting an electric car and it had dead batteries, when they are empty the column should not rent them out	"
positive;"Overall this is a great service	"
positive;"Very useful would improve the maintenance status of the yellow bicycles (it would be useful to be able to report breakdowns) is a management of the repositioning of the bikes in the most frequent parking areas during peak hours.	"
negative;"the only note that I consider a duty to do as a user, concerns the return of the bike. Too many times I have had to go around the blocks to find a vacant place without success, losing much more time than I would have spent on foot. (I also find it just right that I have been given a penalty, due to what I see as a disservice). I hope you find a way to solve this problem. For the rest, I am a satisfied customer.	"
negative;"Bicycle unloading service in the central Milan stations is not always efficient! Especially in the time bands from 9.30 to 12.30	"
positive;"Improve maintenance and service will be perfect	"
positive;"Optimal experience, very well located stations. Perhaps a little heavy for a woman to take / reinsert into supports.	"
positive;"the service should be adjusted and perfected	"
positive;"Cover the Calvairate area	"
negative;"the bicycles are the manager and the stalls are not adequate	"
negative;"Central parking lots are often occupied and leaving the bike is a problem	"
positive;"GREATER BICYCLE MAINTENANCE	"
positive;"Bicycles often do not have functioning changes	"
positive;"absolutely negative is the availability of bikes in certain and certain stands in certain time slots	"
negative;"I do not agree with the closing time for me there should not be so as to be a viable alternative when there are no means	"
positive;"satisfied	"
negative;"I do not like that yellow bikes are becoming like red ones in terms of basket and big saddle, which is uncomfortable for those who don't have big asses. In Garibaldi station around 19 20 the stall is always full and you have to queue to leave the bike. A stall near the Lambrate station is missing	"
positive;"In the case of occupied stalls, provide an alternative without a charge for returning the bike	"
positive;"Put nearby stations back to where you removed them to make way for the construction sites. And expand the bike sharing network	"
negative;"New traditional bikes are very uncomfortable	"
positive;"Now old bikes	"
positive;"Increase the stations	"
positive;"improve the monitoring of the stalls in the stations because often there are no free ones.	"
negative;"it would be better to check more the status of electric bikes, too often faulty and without thrust, discharged or with broken or unstable saddle	"
positive;"I would like the boundaries of use of the service to be extended also to the periphery.	"
positive;"I am often out of order (dancer saddle	"
positive;"On the whole, apart from the heaviness of the means to take it and hang it up, a roof and a more assiduous maintenance of the means would be appreciated.	"
positive;"Lighter bicycles and better gear	"
negative;"Add stations in suburban workplaces shift critical bike hours, bike-style status evaluation to report faults	"
negative;"Everything is fine except the lack of change on the e-bike	"
negative;"I find the experience very interesting, which makes Milan very civil. Unfortunately, lately it has happened to me quite often that bicycle breakdowns made me lose a lot of time.	"
positive;"Increase the number of retreat areas at schools with super low student fees. Increase withdrawal stations in less central areas - door to victory and via Molise. Improve the quality of the bicycle or the maintenance (many are broken). Associate museum cards with bike me cards	"
negative;"Around 11 pm it would be useful for a collaborator to check that there are bike stations to be able to leave especially in winter. In fact it often happens that there are no free positions	"
positive;"It would serve a station at the San Siro stadium	"
positive;"More maintenance for yellow bicycles	"
positive;"Good initiative but many bikes have breakdowns or make noises while pedaling. Sometimes the card reader does not work (especially in Cordusio) and I often find it hard to find one when I need it after work. I would like to use it regularly but if the service remains unreliable it will not renew the subscription	"
negative;"There should be the possibility to report a bike that does not work in this way it would not be used by the next user as it could also be dangerous!	"
negative;"Too heavy and inconvenient Electric ones too rare and often empty	"
positive;"Maintenance to change bikes very urgently !!!	"
positive;"the problem is that during peak hours the downtown stations are often full and you need to turn to be able to leave the bike down. often around a quarter of an hour / 20 min to find a free station.	"
positive;"positive, go ahead!	"
positive;"The app could be improved: the withdrawal map should be the default setting	"
negative;"they serve more cycle lanes, Milan and dangerous for bicycles	"
positive;"They should also be placed in the Primaticcio area	"
negative;"The only flaw of the service is the winter time which does not allow use after 24 hours	"
negative;"I wanted to use the service more, but often the paving in the center of Milan does not make it easy to use	"
negative;"Parking in the central stations in the early morning has become particularly problematic, causing considerable inconvenience (delays, charges, reports, etc.).	"
positive;"Positive	"
negative;"All very well. Some areas for improvement: the weight of red or orange but red ones is excessive and lifting them to stall them is a challenge. This type of bike then has a saddle that can be raised a little and often does not stop well and slips down so you have to ride at Fantozzi, in the center I often notice that when the stations are filled with bikes, many people arrive to leave the bike down and they have to wait: why don't you always leave two empty stalls instead of filling the whole station? Under my house in Piazza VI Febbraio the gravel as a ground for the station is not comfortable, it was not a good solution, in pagan way having made the paved cycle path was the ridge! Who is the genius? We dance to death, it will be even more beautiful but it makes no sense to have a smooth pavement and a cobblestone track!	"
positive;"A very useful service to live better keeping fit and respecting the environment and your city. It would be even more used if there were more bike lanes.	"
positive;"It would be ideal to have a bike with a lighter frame and saddles that are not too wide and of soft consistency. I would also like bikemi stations also in places like Via Mecenate and Viale Corsica	"
positive;"I am satisfied with the service and the only thing that can be improved is the quality of the bikes, which is more than satisfactory	"
negative;"you move quickly at low cost and without polluting	"
negative;"We should do much more maintenance on the bikes !! On the yellow ones the change is almost always broken now!	"
positive;"fantastic service but in milan many cycle paths end suddenly making the journey dangerous. pavé and rails are also dangerous. the bikes are really too heavy and for those who are not very high road stability is at risk. comunwue congratulations for the service. it would also be useful if at the time of the renewal the current amount was immediately discounted for those who have the annual ATM subscription.	"
negative;"Cardan bike often not ok	"
positive;"It would be nice that even in winter the service was guaranteed up to, for example, three in the morning	"
negative;"often the edison and the cordusio patronage are empty in the evening	"
positive;"Lighter bikes and more effective parking management	"
positive;"Improve maintenance	"
negative;"red bicycles are not always charged and the cost charged in any case	"
positive;"put the best saddles on the yellow bike !! Increased availability of red bikes.	"
positive;"Urge maintenance on bikes	"
negative;"I FIND A LOT OF BAD NEW YELLOW BIKE	"
positive;"Great	"
negative;"The main problem detected is the availability of stalls in the most frequented areas	"
negative;"I almost always find bikes with defects (punctured wheels, broken brakes, broken saddles, strange chain noises, etc.)	"
negative;"customized bikes that only one individual uses for a defined period (hygienic problem)	"
negative;"I feel good sometimes the bikes are a bit damaged, you ride badly	"
negative;"Often the anti-theft padlock does not work and prevents leaving the bike outside a shop. Brakes are often poor.	"
negative;"In the past it has often happened that the columns for the rental did not work, it is necessary to avoid that whoever hangs up the bikes formi.la row to the column to verify end rental. I would consider alternative materials to make the bikes less heavy. I find it very inconvenient to hang up the bike with advertising banner in the basket is missing the visibility of the hooks	"
positive;"Opening at 7 is too late! At least 6.30	"
negative;"Useful service, however (yellow) bikes are often in a bad state. I often found inefficient brakes, and the pedaling proceeded in spurts (I suppose for the inadequate conditions of the CHANGE-CHANGE)	"
negative;"Two complaints: 1. Too often, the change works badly. 2. There are still too many uncovered areas! 3. Why doesn't the night work?	"
positive;"Increase bikemi stations	"
positive;"extend the service more to the periphery, otherwise I find it a great service	"
negative;"at the central station the pacheggs are sometimes either empty or full	"
positive;"HAPPY TO USE IT BUT OFTEN PEDALS, BETWEEN	"
negative;"it must be easy to report broken bikes. today it is impossible to call	"
positive;"Excellent. Congratulations	"
positive;"do more maintenance	"
negative;"Would it be possible to send a bike number with problems via SMS? Type brake pads, etc.	"
positive;"It would be necessary for the service to be continuous 24 hours a day	"
negative;"Not good	"
positive;"Generally well maintained bikes, unfortunately the model is heavy and not very agile. The center is very well connected, it would be useful to continue to integrate with more peripheral stations. My dream on a very beaten path: affori center -> first aid of niguarda, from which also passes the bike path .... :)	"
positive;"Great experience but I would increase the number of pick-up stations in the center and in the Fiera area	"
negative;"bikes should be maintained much, much better, often with badly maintained bicycles and without brakes or even for the electrics that the battery does not work	"
positive;"It's a servbizo that works very well and is very useful because it reduces traffic	"
negative;"in the morning I find the bike but repositioning it is becoming difficult and boring. I often can't find a place, all the stalls are full. Even risk of not being more punctual	"
negative;"Solve the problem of full and empty stations	"
negative;"yellow bikes that don't work I always pay for electricity	"
positive;"The service is good, very widespread, but the vehicles need more and more frequent maintenance	"
positive;"the suggestion I can give is to continue with the extension of the service	"
positive;"The changes of the yellow bikes are often not working, the 3rd gear does not go. Apart from that I am very satisfied.	"
positive;"It is a good service if taken as a whole, the suggestion I can give is to extend the number of stations to the peripheral areas (beyond the circular).	"
positive;"Improve the already good level of maintenance of the bikes - greater guarantee of functioning of the electrics	"
positive;"The service is great, I really appreciate it. However, bicycles are very heavy and not always in perfect condition. It would also be useful a special app where you can report in a click the ""stolen"" bikes outside the station that you sometimes see in the corners of the city	"
positive;"Good	"
negative;"Positive experience, shame about some missing stations in the Loreto area (via Padova and Viale Monza absent)	"
positive;"I would think of a handle to facilitate the delivery of the without getting dirty and without making too much physical effort (even if it is not my case)	"
negative;"only problem to report too often the stalls do not record the correct establishment of the bike and you risk icorrerere nela penalty	"
positive;"Increase number of electric bikes	"
positive;"Set up stations even in the most peripheral areas	"
negative;"There are too many bikes with problems	"
negative;"Interesting and pleasant, too bad a lot of badly functioning bikes	"
negative;"There are still too few stations in the city center to leave or pick up the bike	"
negative;"Lately I've found a lot of bad bikes	"
positive;"improve bicycle maintenance and bicycle redistribution service	"
positive;"I wish there were stations even in the suburbs. In the neighborhood you entrust there is not even one!	"
positive;"Definitely improve the model. Distribute the stations better on the territory, especially in the Via Ceresio area where there is no station.	"
positive;"Good morning, it would be nice to communicate some aspects of the operation of the pedal assisted bicycle, it is not written anywhere that the red light indicates that the bike has no energy, a small sticker would be enough in correspondence of the light with the writing ""red = bike unloaded""	"
positive;"One of the things I would change is the time of the service, in my opinion it should always be available	"
positive;"Very efficient service. The only flaw is that it cannot be used at any time of the night.	"
negative;"Too often there are no bikes available in downtown parking lots, especially in the evening	"
positive;"better use of apps to find bikes near me	"
positive;"Excellent initiative, too often the yellow bikes have a defect	"
positive;"Greater care of the maintenance of bicycles and the possibility through a signaling app of small inconveniences found on a bicycle	"
positive;"I welcome the service which clashes with the lack of cycle paths / tracks that would allow safer journeys and greater distances. The bikes are on average in good condition, I have sometimes found an incorrect distribution of the bikes in the different stations. For fault reports, a more immediate way should be found to let you know about failures or inconveniences to facilitate your maintenance activity. However, I consider a very appreciable service, the ideal would be to upgrade the system and move the drivers' users to this service.	"
negative;"Often the pedal-assisted BikeMi are empty.	"
positive;"I think it would be better to have stations even in more peripheral areas of the city. Bikes are very functional but not very light.	"
negative;"The yellow bicycles often have gearbox problems, which do not remain 'fixed' but produce clicks on the pedals. In general, bicycles are very heavy	"
positive;"Because you have not thought of it before, I hope that it will become the privileged means for transport in the city.	"
negative;"I use it at peak times, I find difficulty in the availability and return of the bikes	"
positive;"I would equip the bicycles with child seats and improve the quality of electric bikes because they are often not efficient	"
positive;"I wish you could use the service even at night	"
negative;"bikes are often broken and poorly maintained the seat often goes down suddenly	"
negative;"the system is always broken then the quality of the bike is bad, above all the new bicycle that the chair is always broken	"
positive;"When the bike didn't hook right on the rack I hope there would be an alarm to warn me. When I hook it its hard to see the little light. Especially in summer, when the sun light is extremely strong.	"
positive;"More stalls and more functioning bicycles (tires that are always swollen, change gear and greasing of movement and cranks)	"
negative;"Very bad bikes	"
positive;"The gear changing system should be improved. Often it works badly, it does not hold third gear. It could even be useful to plan bikes without gearbox or with a different gearbox	"
negative;"suburban stations are often full in the evening and it is difficult to leave bicycles (ES milano hatch)	"
negative;"I often use the Porta Garibaldi station and often I don't find bikes and empty stalls	"
negative;"The risk of finding full stalls or a station that is not working or an electric bike that is empty or with tires on the ground is too high	"
positive;"Inflate the wheels of bicycles	"
positive;"make it even more capillary throughout the city	"
negative;"Leave the bikes at night.	"
positive;"Provide staggered forms of subscription also for times of use and / or to climb (like some ski lifts). Integrate the card into the RicaricaMi card (which must as soon as possible assimilate the Oyster system in use in London).	"
positive;"useful, convenient, fast for the city center. economic even if it would be opportune to verify the possibility of a multiple subscription for families with diversified fees.	"
positive;"bikemi is a great service, too bad when there are inconveniences at peak times, the morning with empty stalls and in the evening with full stalls at the stations. managing to make the bicycle change more fluid would be perfect. in my opinion, being a flat Milanese, the normal service should be strengthened rather than the e-bike one	"
negative;"The stations do not register the refund and often generate penalty problems.	"
positive;"Often the columns are out of service	"
positive;"More maintenance, the bikes almost always have brakes or gears that don't work	"
positive;"More attention to bike maintenance, increase the number of stalls in the suburbs (white flies) and invest more in the construction of cycle paths.	"
positive;"MUCH MORE THAN SUFFICIENT	"
positive;"Most expensive red bikes at any time	"
positive;"A bicycle should also be designed for children aged 10 to 16 to cover all age groups	"
positive;"Improve maintenance and start the service from early morning, 7.00 am already late: I would suggest at least from 6.00 am. Then the rest is fine	"
positive;"I am very satisfied with the service. The only flaws are the heaviness of the yellow bikes and the absence of cycle paths.	"
negative;"there is no station in the Via Piranesi area, where I work	"
positive;"I am very interested in the possibility of adding child seats!	"
negative;"I really appreciate this service, but I often find bicycles really difficult to use (braking pedaling, deflated wheels, brakes locked). I would appreciate a little more maintenance or at least the possibility to point out that the last bike I used has problems in order to direct maintenance.	"
negative;"Great service, shame about the condition of the bikes that are not always perfect	"
positive;"I would like to be able to give an evaluation to the bike once it is returned to the station, for example to report problems. I would like to be able to book the bike in exceptional cases. I would like more places to park, especially during peak hours or evenings.	"
negative;"include in the subscription also the limited use of electric bikes	"
positive;"It would require more maintenance for bikes in general and for electric bikes in particular and better management of space in the racks	"
positive;"the bicycles turn out to be a bit heavy compared to the personal bicycle	"
negative;"good as service but poor maintenance	"
negative;"two problems: the lack of a bike in the morning near the station (central in my case) and the racks always or almost always full in the morning from nine o'clock, which forces you to take long laps on other 3 or 4 or 5 or even more racks to find a free stall	"
positive;"I am generally satisfied with the experience, only that lately I am experiencing inconvenience due to the suppression of the piazza partisan resistance station, due to the works for the M4 metro. The nearest station is buggy and it's not close!	"
positive;"Improve the rotation to allow for return	"
positive;"It is very convenient and useful, it would be nice that electric bikes were always a minimum and that they were also free only for the first half hour. The yellow bikes could be more agile and a little lighter and more manageable. It would be nice to put even more station outside the center	"
