review;sentiment
Mi piacerebbe poter comunicare velocemente eventuali guasti alla bici utilizzata (sono frequenti, e un servizio simile servirebbe molto anche a voi per semplificare la manutenzione). Ad esempio passando la tessera subito dopo la consegna e selezionando uno di 4 o 5 problemi predefiniti (tipo tasto 1 per problemi ai freni, tasto 2 al cambio, 3 i pneumatici etc). Credo inoltre che le bici elettriche siano inutili, costose e con una gestione troppo complicata, soprattutto se non si ricaricano agli stalli e se il sistema sarà misto con le bici normali. Non voglio pagare di più per inutili bici eletriche (milano non ha neppure una salita!), molto meglio spendere quei soli per allargare le stazioni bikemi alla cerchia della 90/91. Grazie;-1
maggiore manutenzione alle bici;1
Al mattino trovo spesso le stazioni senza stalli liberi (palazzo Marino, piazza meda);-1
"Possibilità di segnalare biciclette non funzionanti, eliminazione di manopole grigie \\""appiccicose\""\"", funzionamento anche notturno, punti di \""\""gonfiaggio""";-1
ci vorrebbero ancora un po' di stazioni in corrispondenza delle fermate metro periferiche (greco, lotto, lambrate...);-1
Non e' chiaro quanto tempo e' a disposizione per restituire una bici difettosa senza essere bloccati per 10 minuti;-1
QUANDO MI SPOSTO IN BOCLCLETTA E FACCIO TAPPE INTERMEDIE  HO DIFFICOLTA A LEGARE LA BICICLETTA .QUESTO NEL CASO IN CUI NON CI SIANO STAZIONI PER AGGANCIARE LA BICICLETTA;-1
alcune stazioni anche tra loro vicine sono sempre piene di biciclette ed è impossibile riconsegnarla: vedi università statale;-1
aumentare le stazioni in zone semiperiferiche - zona est;0
Mi è stata rubata la tessera dell'abbonamento ormai due mesi fa e quella nuova non mi è ancora stata recapitata!;-1
"innanzitutto grazie a Voi che avete creato un ottimo servizio; l'unico desiderio sarebbe quello di avere + piste ciclabili e + stralli in periferia altrimenti si privilegia sempre troppo il centro";1
"Personalmente gradirei la possibilità di usufruire del servizio anche dopo la mezzanotte. Inoltre mi è capitato più volte che la bici non si agganciasse correttamente, senza la possibilità di muoverla; in quei casi ho dovuto contattare il customer service che ha provveduto alla correzione del tempo di utilizzo.";1
Il lasso di tempo entro il quale si puo' riconsegnare la bici e sostituirla non è sufficiente;1
Grazie per fornire questo servizio. le stazioni dovrebbero essere più libere alla mattina in centro spesso non si trova posto.;0
spesso deposito lagrange pieno e costretto ad andare in altro con perdita di tempo...;-1
Aumentare gli stalli, ubicandoli anche fuori dal centro città;-1
aprite stazione via Cavalleria angolo Rossetti Mascheroni;1
"promuovere l'utilizzo delle biciclette con della comunicazione \\""emotiva\""\"" sugli spazi di affissione in prossimità degli stalli e sulle biciclette""";-1
La bikemi dovrebbe essere accessibile a tutte le ore per usi anche di notte.;1
nettamente da migliorare la gestione delle stazioni piene o vuote;1
sono soddisfatta del servizio, ritengo necessario aumentare le piste ciclabili e promuovere il rispetto dei ciclisti;1
estendere l'area di copertura del servizio (la città è grande!): lo userei molto di più;1
Migliorare la manutenzione delle biciclette e migliorare il sistema informativo degli stalli che talora indica erroneamente che le bici non è stata restituita.;-1
servizio molto buono: occorrerebbe poter permettere all'utente di segnalare guasti della bicicletta. Per es. sarebbe bello se quando si restituisce la bici si potesse tramite la pulsantiera della colonnina indicare eventuali malfunzionamenti.;0
estendere le stazioni oltre l'area urbana (oltre loreto e zona marghera);0
continuate così, aumentate le stazioni e cercate di fare piste dedicate;1
spesso il sistema si impianta e non legge la restituzione della bici. Molte stazioni in certi orari sono piene (o vuote);-1
estendere progressivamente la cerchia di utilizzo;1
Bici più semplici o più resistenti nella meccanica. La metà ha problemi, soprattutto nel cambio.;0
Consiglio maggiore manutenzione alle bici (soprattutto per la pedalata);1
dotare le biciclette di un coprisella in plastica per le giornate piovose;0
Occorre assolutamente ampliare l'orario di servizio, in modo che bikemi possa essere una alternativa per quando si esce la sera;1
Area online per segnalare problemi riscontrati, estensione servizio oltre la circonvallazione. Possibilità di prenotazione.;-1
continuate cosi'. Sarebbe utile collegare anche le scuole superiori alle stazioni;1
"Utilizzare biciclette senza cambio e marce; siamo in una città piatta: rapporti per la salita e la discesa non hanno senso e in compenso si guastano piuttosto di frequente. Tutto quello che non c'è non si rompe.";0
Sarebbe preferibile disporre di biciclette più leggere e munite di seggiolino per i trasportare i bimbi;1
Garantire una maggiore manutenzione alla bicicletta, soprattutto il cambio;1
I tre problemi che riscontro principalmente sono: 1) la mancanza di stazioni al di fuori della zona centrale, il che per esempio mi impedisce di usare la bici da/per casa (zona Piazza Abbiategrasso) 2) Talvolta il prelievo risulta impedito o difficoltoso per il malfunzionamento delle stazioni 3) Talvolta (abbastanza spesso) le bici non sono in perfetta efficienza (freni, cambio ecc.);-1
Più stazioni in periferia;0
1) Mezzora di utilizzo per sposstamenti lunnghi è poca 2) bici scomode e pesanti 3) mancanza di piste ciclabili;-1
Le biciclette del servizio sono troppo pesanti ed inoltre andrebbero revisione con maggiore frequenza.;1
occorre migliorare il controllo delle stazioni inefficienti/difettose e delle bici scassate;-1
"1. devo spesso contattare il call center perchè ci sono problemi con la procedura di restituzione (schermata rossa, lentezza del sistema, ecc.). 2. non ho un modo semplice e veloce per comunicare che la bicicletta ha problemi che ne compromettono l'uso (buca, cambio rotto, luci non funzionanti, ecc.) 3. non ho capito (ma probabilmente dipende da mia lacuna) come fare a scegliere una nuova bici se mi accorgo che quella assegnatami ha problemi che ne compromettono l'uso (buca, ecc.) 4. quando contatto il call center la comunicazione con l'operatore è velocissima, ma prima di parlare con l'operatore passa troppo tempo e troppe opzioni: si potrebbe \\""allacciare\""\"" il profilo utente al numero di telefono da cui si chiama?..si eviterebbe di dover fornire il numero di tessera e si ridurrebbero di molto le tempistiche. Grazie!""";-1
Maggior manutenzione alle biciclette specialmente ai cambi e al gonfiaggio gomme;1
le stazioni sono ubicate quasi solo in centro. per renderlo davvero utile sarebbe necessario mettere un numero considerevole di stazioni anche fuori dalla cerchia dei bastioni;1
piste ciclabili ma sicure non in strada senza segnaletica come quella sulla darsena!!! soprattuto se in zone con pavè e tram;0
Il cambio si rompe molto spesso;-1
INSTALLARE STAZIONI IN PIAZZALE LORETO E CITTA STUDI (+ A EST);0
serve una stazione in porta garibaldi verso il centro;0
ci vogliono più piste ciclabili ma per il resto alla grande grande BikeMi;1
Aumentate la manutenzione delle biciclette!!;0
quando va in blocco la rastrelliera, e succede abbastanza spesso, il tempo di attesa di 10 min. per riprendere un'altra bici è eccessivo.;-1
estendere stazioni fino a cerchia filoviaria;1
Sarebbe opportuno che fossero utilizzabili anche tutta la notte o almeno fino a notte inoltrata, per poterle utilizzare al posto dei rari mezzi pubblici notturni.;1
Preparare più stalli in periferia;-1
ottimo servizio, ma da migliorare: 1. biciclette troppo pesanti - 2. spesso biciclette non funzionanti correttamente (cambio che non funziona completamente, freni usurati);1
Ottimo servizio, ma sarebbe fantastico se si potessero aggiungere altra stazioni  fuori la cerchia del centro. Es viale Corsica;1
si grazie mi farebbe comodo una stazione in prossimità di viale stelvio angolo valtellina. grazie;1
State andando alla grande, continuate ad aggiungere stazioni;1
più piste ciclabili! ad esempio in corso magenta, dove c'è ampio spazio;1
manutenzione alle bici;0
Spesso le gomme delle biciclette non sono abbastanza gonfie e il cambio scatta da solo. Sarebbe bello espandere maggiormente il servizio lontano dal centro storico.;0
Il servizio è ottimo, quest'anno lo trovo anche migliorato rispetto all'anno scorso. Vi prego di avere sempre un monitoraggio costante sulle stazioni in modo che non restino sprovviste di biciclette soprattutto nelle ore di punta, nelle zone di alta frequentazione come Stazione Cadorna e nei pressi di Stazione Garibaldi.;1
bici più' leggere e meglio manutenute;1
Si verificano frequenti disservizi nel prelievo/restituzione delle biciclette con conseguenti penalizzazioni inaspettate;-1
IMPORTANTE: mettere a disposizione un modo per comunicare alla società di gestione quando si trova un mezzo non in ordine. Se potessi segnalare una bici rotta o con problemi sarebbe utile a tutti. Mi è capitato di prendere una bici, provarla, rimetterla sullo stallo e dover aspettare 10 minuti perché erano passati i 30 secondi per restituirla. Ho chiamato il call center ma non possono fare nulla,;0
La qualità delle biciclette è pessima: le bici sono pesantissime, salta SEMPRE la marcia più alta, le ruote sono sgonfie;-1
Serve aumentare sempre pi√∫ il numero di stalli, in particolare nelle zone periferiche (l√≠ sarebbero molto utili le elettriche, pi√∫ che in centro). √â importante monitorare l'occupazione degli stalli ed intervenire in tempo reale per rimuovere alcune biciclette (in alcune occasioni gli stalli erano completamente occupati, vero che si pu√≥ cercare un altro stallo ma spesso esso non é vicino al precedente).;-1
"perché non pensare ad un sistema di feedback a proposito della bicicletta appena usata? quando la si riaggancia bisogna comunque passare il tesserino e sarebbe una buona occasione, se il \\""ciclista\""\"" ne ha tempo e voglia, per dire in che condizioni ha trovato la bicicletta che ha appena usato. Rintracciare la bicicletta in discussione per Bikemi sarebbe molto semplice e la manutenzione della bici sarebbe facilitata. Si può raccogliere feedback generico (tipo \""\""tutto bene\""\"" o \""\""controllate la bici\""\"") o andare nei dettagli indicando esattamente cosa non funziona. Che le bici siano un po' pesanti non è un problema, ma che il cambio continui a saltare o la sella non stia ferma sì. Comunque io adoro Bikemi!""";1
cambiate bici e assistetele meglio.;1
Migliorare la qualità delle biciclette ed aumentare Il numero di postazioni;1
Mettere stazioni anche meno fitte ma per coprire aree più ampie della città. Specialmente centri nevralgici tipo le stazioni ferroviarie.;0
L'IDEA √à OTTIMA, MA MANCANO PISTE CICLABILI! ALTRIMENTI DIVENTA PERICOLOSO O IMPOSSIBILE NEI TRATTI CON I SAMPIETRINI;-1
Potenziare  le piste ciclabili;0
allargate la possibilità di prelievo bici in periferia, dove i parcheggi sono più possibili, e avrete un'utenza piò numerosa,fedele e frequente;1
Evitare tratti in pietra sulle piste.;-1
aumentare le stazioni e le piste ciclabili;0
MIGLIOREREI IL SISTEMA ANTIFURTO PER QUANDO LA SI LASCIA TEMPORANEAMENTE. E COLLOCATO IN POSIZIONE SCOMODA E POCO ACCESSIBILE;0
Per gli abbonati annuali ricevere il rimborso dovuto (sconto) è un vero e proprio calvario;1
dovete assolutamente verificare con maggior frequenza lo stato delle bici, spesso ho prelevato bici con ruota bucata, sellino rotto;0
1) allargare il cerchio delle wstazioni fino alla circonvallazione esterna 2) sanzionare chi depone le bici dalla parte errata degli stalli;-1
Incrementare gli stalli soprattutto in zona De Angeli. Mantenere una buona qualità delle bici;1
allargare le stazioni BiKe Mi fino in prima periferia o presso stazioni metropolitane altamente frequentate;1
Alla mattina è molto difficile trovare stalli liberi in centro.- Tutte le stazioni risultano piene. Inoltre, vi prego, vi scongiure, MANTENETE APERTO IL SERVIZIO TUTTA NOTTE. E' assurdo che chiuda a mezzanotte, non si può usare la bici per tornare dal cinema.;-1
COSTRUIRE PIU PISTE CICLABILI E METTERE ALTRE STAZIONI;0
Ampliare aree senza auto. La con la bici si raggiunge qualsiasi luogo di milano;1
sarebbe utile che il prelievo delle biciclette fosse consentito,almeno nei week end, fino alle 3 o alle 4 del mattino.;1
ho fatto l'abbonamento al bikemi principalmente perchè spesso devo tornare a casa la sera tardi da sola, ma non potendo prendere la bicicletta oltre la mezzanotte raramente posso usufrire di questo servizio;-1
Gli stralli sono troppo concentrati in centro citta e praticamente assenti all'esterno;-1
Aumentare il servizio in aree critiche (ad es. Brera) ed estenderlo a zone più esterne alla cerchia dei Navigli;-1
le bici sono molto pesanti e spesso hanno problemi al cambio.;-1
trovo il servizio oltre che ben gestito, ed utile anche effettivamente fruibile nel quotidiano nello spostamento per motivi di lavoro, la mia valutazione è eccellente. se proprio devo trovare un aspetto da perfezionare è la manutenzione delle bici, non sempre in perfetta efficienza, ma comunque accettabilizssima in termini di sicurezza. complimenti anche agli operatori telefonici dedicati al servizio, efficienti, preparati e risolutivi. Grazie;1
è stata un'ottima idea. Le bici presentano spesso problemi di manutenzione al cambio;-1
Non fate le bici elettrice perché non hanno senso. Migliorate la durata notturna e se possibile è migliorate la manutenzione;1
aumentare il  numero di stazioni nelle zone più frequentate;0
incoraggio la predisposizione di piu' piste ciclabili protette;1
Messaggio SMS o mail un'ora dopo il prelievo in caso di mancata restituzione (in modo da accorgersi se l'aggiancio non è stato corretto);1
Efficiente sistema di svuotamento/riempimento degli stalli;0
Le biciclette sono spesso un po' danneggiate (il cambio è il tallone di Achille). Per il resto bravi!;-1
Aumentare la presenza di BikeMi in periferia o almeno nei pressi di zone tipo Stadio ( es da Metro di Lotto Lampugnano Bonola Fino allo Stadio San Siro);1
Lo stallo 84 spesso non funziona e non permette di ritirare la bicicletta. Credo sia un problema di linea. Succede soprattutto dopo le 19,00. Le ruote delle bici sono spesso sgonfie ed i cerchioni deformati.;-1
controllare le biciclette spesso sono guaste;-1
Sarebbe davvero fantastico se si potesse prolungare l'apertura delle stazioni di sera: fino alle 2 nel weekend anche d'inverno e fino alle 3 nei weekend d'estate. Pensateci! Grazie!;1
più piste ciclabili;0
Ridurre il peso, migliorare il cambio;1
"il meccanismo di consegna della bici è spesso difettoso. Anche verificando con la tessera l'avvenuto aggancio, può capitare che la bici risulti non correttamente bloccata da sistema. Le bici col tempo si stanno disfacendo, specialmente la pedalata \\""salta\""\"" mettendo le marce più dure""";-1
i cambi sono poco adatti a Milano:la 1 è troppo molle, la 3 è troppo dura;0
ultimamente mi è capitato troppo spesso di non trovare posto per parcheggiare;-1
Trasmissione e cambio sono la parte che funziona meno bene. Quasi sempre viene assegnata la bici più lontana. Per il resto mi sembra un ottimo servizio.;1
Se prelevando una bici ci si accorge che non è ben funzionante (ad es. ruote sgonfie) esiste la possibilità di sostituirla senza concludere il noleggio e quindi senza dover aspettare l'intervallo minimo per il nuovo noleggio?;1
alcune stazioni molto utilizzate spesso o sono vuote o tutte occupate;-1
Sarebbe auspicabile allargare il raggio dei depositi delle biciclette per aumentare la comodità di prelievo;1
sarebbe opportuno aggiungere una pensilina che protegga le biciclette dalla pioggia,  pensare a dei controlli saltuari alle varie postazione per evitare o diminuire atti di vandalismo. Inoltre spesso capita che le colonnine siano fuori servizio durante l'orario della pausa pranzo, .;-1
"Il 30 per cento circa delle bici ha qualche problema di freni/cambio (sicurezza...); i messaggi dal Customer Service a volte sono mal formulati o producono malintesi, non sempre gradevoli, soprattutto in chi usa con coscienza il servizio";-1
"Aumentare la capienza di alcune rastrelliere in punti molto frequentati; succede di trovare le rastrelliere tutte occupate in punti nevralgici (Cordusio, Duomo) e di dovere perdere tempo a cercarne altre. Si verifica inoltre un altro inconveniente:  ad esempio, nella rastrelliera in via Albertini (zona Sarpi) alcune biciclette restano bloccate alla rastrelliera e non si riesce a prelevarle. Ma passando la tessera sul lettore la bicicletta risulta in uso e non si riesce a prenderne un'altra.";-1
lo uso troppo poco per dare consigli utili;1
per quanto mi riguarda il difetto più grande di questo servizio è che non funziona di notte. è questo che fa si che spesso preferisco usare l'auto. lo trovo assurdo;0
il cambio scatta al minimo sforzo maggiore di una pedalata da passeggio/per molti le bici sono un po pesanti;0
Quando prelevi una bici non ben funzionante sei in difficolta;0
Migliorare il sistema di presa e riconsegna perche' spesso ci sono dei problemi;-1
Piste ciclabili e seggiolini bambini;0
"a volte gli stalli sono occupati e non si riesce a parcheggiare; potrbbe essere utile sapere la disponibilità di posti o di bici nei vari stalli utilizzando una qualsiasi colonnina";1
Migliorare la manutenzione freni;1
L'app non funziona;0
portare le stazioni biremi anche in periferia;0
Nella zona centrale e negli orari di punta sarebbe opportuno un maggior controllo delle postazioni, spesso occupate al momento del rilascio della bici;1
Ottimo servizio in generale, a buon prezzo. Aree di miglioramento: alcune zone rimangono abbastanza scoperte (Nord-Ovest e in generale fuori dal centro). Spesso non si trova parcheggio nelle zone centrali la sera e nel weekend, bisognerebbe rimuovere più velocemente le bici dalle stazioni piene.;1
stazione Cadorna nelle ore di punta serali spesso e volentieri non c'è posto per l'aggancio.;0
Fondamentalmente sono soddisfatto del servizio sia in termini di qualità che di prezzo. Confidavo in un potenziamento delle stazioni presso il nodo di Garibaldi Fs, ma sono fiducioso. Battiamoci per meno auto e più piste ciclabili. I paesi bassi, insegnano.;1
enecessario fare piu manuntenzion alle bici, al cambio in particolare;0
Servizio da estendere anche oltre la circonvallazione esterna senza introdurre necessariamente bici a pedalata assistita;0
inserire un sistema di valutazione (faccina sorridente o faccina triste) alla fine di ogni utilizzo presso la stazione. Questo obbligherebbe tutti ad avvicinare la tessera anche alla fine del servizio e comunicare gli eventuali danni o malfunzionamenti (faccina triste) all'assistenza per il pronto intervento.;1
Aumentate le stazioni verso la periferia così uso bikemi;0
A volte non si aggancia bene e questo blocca l erogazione di una nuova bici e anche telefonando al n verde per alcune ore;0
VA IMPLEMENTATA LA SEGNALAZIONE DELLE BICI GUASTE PER MIGLIORARE LA MANUTENZIONE;0
seggiolini per i bambini !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!;0
Creare stazioni bike me in prossimit√° dei capolinea del metro ( es. famagosta, ecc.);0
Aggiungere più stazioni specie fuori dalla cerchia;0
Allargare l'utilizzo alla circonvallazione esterna;1
Migliore manutenzione alle bici;1
permettere l'utilizzo nelle ore notturne!!!! aumenterebbe di molto l'utilita';1
ampliare le stazioni fuori dalla cerchia;0
migliore la manutenzione delle biciclette (cambio malfunzionante, pneumatici sgonfi), incrementare il numero delle stazioni;1
I sellini basculanti/stalli in zona piazzale Martini;-1
Consiglio maggiore manutenzione per gonfiaggio gomme e regolazione del cambio velocità;1
vorrei una stazione in piazza gae aulenti dove attualmente lavoro;1
più rastrelli in zone periferiche;-1
estendere la copertura del servizio predisponendo stazioni oltre la cintura della circonvallazione;0
L'uso di ruote piene o blocco delle valvole e la manutenzione delle bici sono 70% disastrate;-1
Mettete i seggiolini per portare i bambini piccoli in bici;0
Estendete l'orario notturno;0
Spesso, dopo aver consegnato la bici, anche con LED verde, il sistema non accett6a la riconsegna;-1
CONTROLLATE MEGLIO I MEZZI, SPESSO IL CAMBIO O I FRENI SONO DANNEGGIATI;-1
il lastricato e l'assenza di piste ciclabili in centro sono un vero pericolo;-1
occorrono anche postazioni fuori dal centro (esempio san siro);1
Aumentare il numero delle postazioni soprattutto nel centro di Milano. Dopo le ore di punta al mattino si trova con difficoltà una postazione con posti liberi per lasciare la bici.;-1
ottimo servizio da potenziare anche nelle aree piu periferiche;1
le bici pesano molto;0
L'immobilizzazione di 10 min è troppo lunga, soprattutto se per problemi al sistema, io perdo il treno x 10 min.;-1
i nuovi cambi funzionano malissimo (hanno SEMPRE problemi);-1
possibilità di segnalare bici guaste al terminale;-1
L'unico, vero difetto del servizio, è costituito dal cambio delle biciclette, mal funzionante in generale e spesso rotto.;-1
Stazioni più libere per il rilascio, bici tenute meglio;1
fare altre stazioni più periferiche, una migliore manutenzione;1
aumentare numero stazioni;0
magari si potrebbe dare la possibiltà di scegliere il mezzo in modo da non vedersi assegnato quello con le gomme sgonfie o i pedali rotti;0
servizio comodo e util.  ooccorrono più piste ciclabil.  allargare la cerchia;1
RIVEDERE IL SISTEMA DI AGGANCIO BICI. BICI PIU' LEGGERE. MIGLIORE MANUTENZIONE(CAMBIO). AUMENTARE LE STAZIONI.;1
suggerirei piu' stazioni tra politecnico istituto tumori lambrate ortica;-1
incrementare le stazioni (esempio Piazzale Maciachini) e rendere le bici più leggere per rendere più semplice l'aggancio/sgancio;1
Migliorare il bilanciamento bici soprattutto stazioni periferiche. Introdurre app mobile. Possibilità per i turisti di acquistare abbonamenti da app o diretatmente alle colonnine;1
Creare piste ciclabili almeno nelle zone con maggior percorribilità di auto;1
Ottimo servizio veramente. Complimenti al Comune di Milano per averci creduto e continuare ad investirci. E' un servizio che e' percepito molto positivamente dai cittadini e da chi deve spostarsi in centro.;1
Estendere le postazioni alle zone più periferiche;0
Migliorare la manutenzione del cambio velocità delle biciclette. Troppo spesso è malfunzionante.;1
Metterei stazioni anche in periferia;0
Orario 24 ore. Almeno inizio alle 5:00. Troppo corto attuale periodo di utilizzo dalle 7:00. Alle 6:00 la citt√° e i lavoratori sono gi√° in movimento da tempo. Deve essere dalle 5:00 alle 2:00 minimo o 24 ore! Almeno dalle stazioni (es: arrivo pullman con passeggeri in rientro con ultimi voli da Orio e Malpensa);1
aumenterei a 30 minuti la tratta non a pagamento;-1
Aumentare le piste ciclabile, aggiungere posteggi anche nelle zone più esterne (es. P.za Napoli, Paolo Sarpi/Baiamonti), fare un cambio (trasmissione) più robusto (spesso funzionano male), Mettere un seggiolino posteriore per i bambini o una piccola pedana al centro in modo che possano stare in piedi davanti al guidatore (cosa che già le mie bambine fanno), istituire una linea telefonica più snella, in modo che non si debba aspettare due minuti prima di parlare con un operatore, incentivando in questo modo a telefonare per ogni problema tecnico riscontrato.;0
apprezzo la diffusione delle stazioni in periferia, bisogna assolutamente proseguire su questa strada (piu' stazioni in periferia e non necessariamente vicino a stazioni della metropolitana, ma privilegiare l'interscambio con fermate di tram e bus);0
sarebbe utili un servizio di segnalazioni di guasti alle biciclette che evitasse di prelevare bici difettose;-1
Installare un'isola in Piazza Amendola dove lo spazio non manca;-1
aumentare le stazioni, soprattutto in periferia - incrementare il giro del servizio tecnico per liberare gli stalli che in centro sono spesso pieni (soprattutto nelle ore di punta);-1
allungare orario 24 ore;0
molto insoddisfatta del servizio. infatti ho deciso di non rinnovarlo ulteriormente.;0
il cambio è spesso rotto per milano basterebbe una bicicletta senza cambio, così sarebbe anche più leggera;-1
Occorre fare un po' più di manutenzione sulle bici, occorre rinforzare il servizio di carico e scarico nelle ore di punta in corrispondenza delle stazioni, ben venga la bici elettrica che può aumentare la lunghezza dei percorsi ... senza doversi fare la doccia prima di entrare in riunione!;-1
Aumentare le stazioni delle biciclette, Aumentare le piste ciclabili!;0
bici troppo alte.possibilità di scegliere la bici al parcheggio (regolazione altezza sella difficile);-1
Consiglio di aumentare i tempi di utilizzo della bici evitando il disagio di doverla necessariamente sostituirla alla scadenza di 30';-1
Mancano stazioni in periferia;-1
Più ciclabili e/o zone 30;0
gonfiare le gomme (sono quasi sempre non sufficentemente piene);-1
aumentare il numero delle stazioni di prelievo/consegna al di fuori dell'attuale zona;0
Sarebbe meglio aumentare il numero delle stazioni ed incrementare i posti di quelle esistenti. Mi è capitato spesso di non poter lasciare la bicicletta o di non trovarne una da prelevare.;-1
aumentare il raggio di copertura delle stazioni bike-mi almeno fino alla cerchia passante per Lotto/linee 90-91;1
secondo la mia esperienza di utente ho constatato in alcuni casi le gomme non sufficientemente gonfie, il cambio a volte malfunzionante.Per il resto anche la pulizia delle bici mi sembra buona.;1
MI è capitato più volte di trovare la sera tutti gli stalli occupati in zona porta genova/via papiniano e di dover cercare un po' prima di trovare una postazione con stalli liberi: migliorerei il servizio di redistribuzione delle bici;0
"Servizio ok. Purtroppo nonostante Milano sia una città \\""a misura di bici\""\"" (clima ok, distanze ragionevoli, ecc..) non è adeguata (strade strette, sconnesse, automobilisti folli...).""";-1
√à importante la cura di ogni singola bici. Spesso il cambio è fuori uso ed è impossibile pedalare. Vorrei che fossero attive 24 ore perché la notte è perfetta prenderla per tornare a casa;1
Allungare l'orario di utlizzo anche alla sera;0
Costruire più piste ciclabili in centro e cambiare più spesso le bici che spesso sono scassate;-1
Espandete un po' le aree nord della città.. grazie e buon lavoro.;1
Risolvere il problema della trasmissione che scatta quando si pedala;-1
Distributori a pagamento di copri-sellini per igiene;0
Spesso si trovano rastrellierei piene e non si riesce a riconsegnare la sera nei pressi delle stazioni ferroviarie;-1
Aumentare il numero stazioni (allargare l'area);0
Prolungamento servizio notturno, maggior frequenza nella manutenzione del mezzo;1
Creare parcheggi interscambio auto-bici come per metro;0
maggior manutenzione;1
Le bici sono un po' pesanti e questo rende l'utilizzo più faticoso. Non sempre i freni funzionano bene, quindi sarebbe meglio fare la manutenzione con una periodicità più frenquente;1
Estendere stazioni fuori dal centro, e servizio h24;0
rendere disponibile il servizio oltre mezza notte;1
Trovo che le biciclette siano troppo pesanti;0
insistete siete sulla buona strada!;1
i mezzi dovrebbero essere più leggeri, le persone minute faticano a usarle;-1
Portate il servizio di bici fino a tutta la città metropolitana, mettete segnaletica dedicata per le bici, in modo da educare alla cittadinanza degli utilizzatori di bicicletta, per ogni viale che permette velocità sopra 30km/h mettere una pista ciclabile, se non si può portare la velocità ai 30km/h;1
piu manutenzione delle stazioni;0
NEL CENRO DI MILANO CI SONO TROPPE STRADE CON PAVE' CHE SONO PERICOLOSE DA PERCORRERE IN BICI. SAREBBE UTILE CREARE TRAGITTI ALTERNATIVI PER LE BICI.;0
Sono necessarie più piste ciclabili. Ogni volta si rischia di venire investiti;-1
